      L    Grid  Aspect    Temp       Energy    EnergyErr        Force     ForceErr Status
 10.000   0.200   2.500 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.300  10.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.300  15.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.300   2.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.300  20.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.300   3.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.300   5.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.400  10.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.400  15.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.400   2.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.400  20.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.400   3.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.400   5.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.300  10.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.300  15.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.300   2.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.300  20.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.300   3.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.300   5.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.400  10.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.400  15.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.400   2.000 300.000   -4.083e-05    1.964e-15   -1.233e-05    2.541e-20    0
 12.500   0.400  20.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.400   3.000 300.000   -5.122e-05    1.331e-14   -1.458e-05    2.541e-20    0
 12.500   0.400   5.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.300  10.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.300  15.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.300   2.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.300  20.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.300   3.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.300   5.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.400  10.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.400  15.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.400   2.000 300.000   -2.008e-05    3.128e-15   -5.369e-06    0.000e+00    0
 15.000   0.400  20.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.400   3.000 300.000   -2.620e-05    1.468e-14   -6.627e-06    0.000e+00    0
 15.000   0.400   5.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.300  10.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.300  15.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.300   2.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.300  20.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.300   3.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.300   5.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.400  10.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.400  15.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.400   2.000 300.000   -1.066e-05    3.186e-15   -2.561e-06    0.000e+00    0
 17.500   0.400  20.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.400   3.000 300.000   -1.438e-05    1.469e-14   -3.282e-06    0.000e+00    0
 17.500   0.400   5.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.300  10.000 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
